UGANDA MEDICAL AND DENTAL PRACTITIONERS COUNCIL,,,,,,,,,,,,,,,,,,,,,,
OPERATING LICENCE REGISTER AS OF 31/12/2016,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Reg No.,Name,Owner ,Supervisor ,Plot,Ward,Division,District,Village,Sub County,County,District,Category Of Health Unit ,Health Unit Status,Number of Beds,Laboratory Services,X-ray Services,Radiotherapy Services,Ambulance Services,Other Services,Receipt No.,Serial No.,OL 2016
HUI0040,INTERNATIONAL MEDICAL CENTRE,IAN CLARKE,DR CHEMONGES DENIS,"36,RIPPON GARDENS",CLIVE RD WEST,MUNICIPALITY,JINJA,,,,,Medical,Out Patient ,,Yes,No,No,Yes,,21249,591,15/03/16
HUI0076,"INTERNATIONAL MEDICAL CENTRE,LUBOWA",INTERNATIONAL MEDICAL GROUP,DR ALAZAAR SAHLE ABAY,LUBOWA,,MAKINDYE,WAKISO,,,,,Medical and Dental ,Out Patient and In Patient ,,Yes,Yes,Yes,Yes,,19874,308,09/03/16
HUI0077,"INTERNATIONAL MEDICAL CENTRE,MBALE",INTERNATIONAL MEDICAL GROUP,DR KADONDI GRACE,"56/58,REPUBLIC STREET",,MBALE MUNICIPALITY,MBALE,,,,,Medical and Dental ,Out Patient ,,Yes,Yes,Yes,Yes,,19866,316,09/03/16
HUI0035,INTERNATIONAL MEDICAL CENTRE-GULU,IMTERNATIONAL MEDICAL GROUP,DR SESSANGA ARTHUR,"02,AIR FIELD RD",,BARDEGE,GULU,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,Yes,"NURSING AGENCY,PHYSIO",19872,310,09/03/16
HUI0034,INTERNATIONAL MEDICAL CENTRE-KITGUM HOUSE,IAN CLARKE,DR MUSISI THERESA,"53, JINJA ROAD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,Yes,No,Yes,,19868,314,09/03/16
HUI0046,IRAAPA CHURCH OF GOD HEALTH CENTRE,CHURCH OF GOD OF EAST AFRICA UGANDA,DHO,,,,,NAMUKUHU/BUDOOGO  ZONE,BUGAYA,,BUYENDE,Medical,Out Patient ,,Yes,No,No,No,"FP,IMMUNIZATION",18773,86,01/02/16
HUI0052,ISHAKA MEDCARE CLINIC-NURSING HOME,MBABAZI SUSENI,DR MBABAZI SUSENI,"119,MBARARA RD",III OF CELL D.,ISHAKA TOWN COUNCIL,BUSHENYI,,,,,Nursing Home,Out Patient and In Patient ,10,Yes,Yes,No,No,,21329,542,22/03/16
HUJ0076,J.O.Y. MEDICAL CENTRE,UPMB (DELIVERANCE CHURCH),DR OTHIENO EMMANUEL,"641, MASAKA RD",NDEEBA,LUBAGA,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,11,Yes,Yes,No,No,OPHTHALMOLOGY,25411,1431,25/05/16
HUJ0031,JINJA ISLAMIC HEALTH CENTRE,ISLAMIC AFRICAN RELIEF AGENCY,DR MUKI MUSA,"29/31, GABULA ROAD",GABULA ROAD,CENTRAL,JINJA,,,,,Medical and Dental ,Out Patient and In Patient ,21,Yes,Yes,No,No,"MCH/FP,MINOR SURGERY",21367,545,22/03/16
HUJ0032,JINJA KAROLI ST. CHARLES LWANGA HEALTH CENTRE II,UPMB,DHO,,,,,"JINJA,KAROLI",NABWERU,KYADONDO,WAKISO,Medical,Out Patient and In Patient ,5,Yes,No,No,No,,24864,1086,15/04/16
HUJ0033,JINJA MEDICAL CLINIC,AHIMBISIBWE DEAN,DR AHIMBISIBWE DEAN I,"88/90, MAIN STREET",ALDINA,WAWUBI,JINJA,,,,,Medical,Out Patient and In Patient ,20,Yes,No,No,No,,22235,1653,23/06/16
HUJ0099,JOSEVA BEST PROMISE CLINIC,KYOMUGISHA NKANDU EVA,DR KYOMUGISHA NKANDU NEVA,NAJJANAKUMBI,,MAKINDYE,KAMPALA,,,,,Medical and Dental ,Out Patient ,,No,Yes,No,No,,21962,662,01/04/16
HUJ0100,JOY AND HOPE CLINIC,NAKADDU LEORANT,NABATTE VIOLETTE,KYAMULA TRADING CENTRE,,MAKINDYE,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,FP,18514,158,12/02/16
HUJ0071,JOY HEALTH CENTRE II,DELIVERANCE CHURCH,DHO,,,,,BUSIGE ZONE,KAGULU,BUDIOPE,KAMULI,Medical,Out Patient ,,Yes,No,No,No,FP,18774,85,01/02/16
HUJ0081,JUBILEE DENTAL CLINIC,MAGARA JAMES,DR MAGARA JAMES,"13, WAMPEWO AVENUE",KOLOLO,CENTRAL,KAMPALA,,,,,Dental ,Out Patient ,,No,Yes,No,No,,19932,218,22/02/16
HUJ0082,JUBILEE DENTAL CLINIC ENTEBBE,MAGARA JAMES,DR KASUMBA BETSY EVA,"5,KIWAFU CLOSE",KITORO,ENTEBBE,WAKISO,,,,,Dental ,Out Patient ,,No,Yes,No,No,,19933,217,22/02/16
HUK0007,KAABONG MISSION H/C III,UCMB,DHO,,,,,LOPUTUK,KAABONG,DODOTH EAST,KAABONG,Medical and Dental ,Out Patient and In Patient ,27,Yes,No,No,No,"ANC,EPI,PMCT HTC",19861,410,20/03/16
HUK0017,KABALEGA MEDICAL CENTRE,RUYONGA JOSEPH,DR RUYONGA JOSEPH,"3, BUJUMBURA ROAD, HOIMA",,TOWN COUNCIL,HOIMA,,,,,Maternity,Out Patient and In Patient ,14,Yes,Yes,Yes,Yes,,19295,245,24/02/16
HUK0018,KABAROLE HOSPITAL,RWENZORI DIOCESE,DR NABIRYE LOY,KASESE RD,BAZAAR,SOUTH,KABAROLE,,,,,Hospital ,Out Patient and In Patient ,100,Yes,Yes,No,Yes,HIV CLINIC,19383,276,09/03/16
HUK0019,KABAROLE MEDICAL CENTRE,NYAKOOJO EDWARD/RUHWEZA/ODDIA A.N,DR NYAKOOJO EDWARD PAUL,MOLIDINA,,BAZAR,KABAROLE,,,,,Medical and Dental ,Out Patient and In Patient ,3,Yes,Yes,No,No,"FP,HIV TESTING",18172,9,07/01/16
HUK0021,KABASA MEMORIAL HOSPITAL,MUDUSU JOHN S.K,DR MUDUSU JOHN S K,,,,,NAMPOLOGOMA,MAZIMASA,BUNYOLE,BUTALEJA,Hospital ,Out Patient and In Patient ,45,Yes,Yes,No,No,"COUNSELLING,FP,IMMUN",19531,330,09/03/16
HUK0025,KABERAMAIDO MISSION DISPENSARY,UCMB,DHO,,,,,GWETOM,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Medical,Out Patient and In Patient ,21,Yes,No,No,No,"EPI,MATERNITY,ANC",22213,1628,27/06/16
HUK0501,KABIGI HEALTH CENTRE III,KABIGI TAQUA FOUNDATION,DHO,KABIGI,,BUTENGA,BUKOMAMNSIMBI,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,MATERNITY,24907,1159,28/04/16
HUK0036,KABUNGO C/U HEALTH CENTRE,WEST BUGANDA DIOCESE,DHO KALUNGU,,,,,KABUNGO,KALUNGU,KALUNGU WEST,KALUNGU,Medical,Out Patient ,,Yes,No,No,No,,20281,1721,10/07/16
HUK0038,KABUWOKO HEALTH CENTRE III,UCMB,DHO,,,,,KABUWOKO,KIRUMBA,KYOTERA,RAKAI,Maternity,Out Patient and In Patient ,20,Yes,No,No,No,MATERNITY,24799,1071,15/04/16
HUK0042,KACHUMBALA MISSION DISPENSARY,UCMB,DHO,,,,,KACHUMBALA,KACHUMBALA,BUKEDEA,BUKEDEA,Medical,Out Patient and In Patient ,10,Yes,No,No,No,,22219,1633,27/06/16
HUK0044,KADEPO MISSION ST. JUDE HEALTH CENTRE II,UCMB,DHO,,,,,KOLOLO,KADEPO,DODOTH,KAABONG,Medical,Out Patient and In Patient ,10,No,No,No,No,EMERGENCY DELIVERY,19862,412,20/03/16
HUK0048,KADIC HOSPITAL BUKOTO,DR KASOZI HENRY,DR KASOZI HENRY,"86, BUKOTO, OLD KIRA RD",BUKOTO,NAKAWA,KAMPALA,,,,,Hospital ,Out Patient and In Patient ,33,Yes,Yes,Yes,Yes,"PHYSIO,CT SCAN,THEATRE",20733,1881,23/08/16
HUK0054,KAGANDO HOSPITAL,UPMB,DR MUNYAGWA MARY,,,,,KAGANDO,KISINGA,BUKONZO EAST,KASESE,Hospital ,Out Patient and In Patient ,100,Yes,Yes,Yes,Yes,"PHYSIO,OCCUPATIONAL TH",18604,46,13/01/16
HUK0478,KAGUMU HEALTH CENTRE III,KAGUMU DEVELOPMENT ORGANISATION,DR MULEKWA GODFREY,KAGUMU,,KAGUMU,KIBUKU,,,,,Medical,Out Patient and In Patient ,6,Yes,No,No,No,"FP,CBO,AID POST,NURSIN",22395,1908,01/09/16
HUK0059,KAHOKO HEALTH CENTRE II,UCMB,DHO,,,,,KAHOKO,NYAKAGYEME,RUJUMBURA,RUKUNGIRI,Medical,Out Patient and In Patient ,6,Yes,No,No,No,,19852,401,20/03/16
HUK0060,KAHUNDE HC II,UCMB,DHO,,,,,KAHUNDE,KYANAISOKE,BUYAGA,KIBAALE,Medical,Out Patient and In Patient ,8,Yes,No,No,No,,24765,1050,15/04/16
HUK0062,KAIHURA VILLA MARIA HEALTH UNIT,UCMB,DHO KYENJOJO,,,,,KAIHURA,BUTIITI,MWENGE,KYENJOJO,Medical,Out Patient and In Patient ,20,Yes,No,No,No,"ANC,EPI,AIDS CLINIC",24406,782,11/04/16
HUK0524,KAIROS MEDICAL CENTRE IV,LIFE MINISTRIES CHRISTIAN CENTRE,DR SERUKKA DAVID SENTONGO,SEETA,KIGUNGA,GOMA,MUKONO,,,,,Medical and Dental ,Out Patient and In Patient ,8,Yes,Yes,No,Yes,,19345,274,09/03/16
HUK0455,KAJJANSI MEDICARE,"MUBARAK FAHAD, KIZITO YASIN",DR MUBARAK FAHAD,KAJJANSI,,SISSA,WAKISO,,,,,Medical and Dental ,Out Patient ,6,Yes,Yes,No,No,,19723,359,22/03/16
HUK0065,KAKASI COU HEALTH CENTRE III,KAKASI C.O.U. PARISH,DHO KAMWENGE,,,,,KAKASI,BUHANDA,KITAGWENDA,KAMWENGE,Medical,Out Patient and In Patient ,10,Yes,No,No,No,"FP, EPI",25083,937,15/04/16
HUK0066,KAKATUNDA HEALTH CENTRE,UCMB,DHO,,,,,NYABIREREMA,BUKINDA,RUKIGA,KABALE,Medical,Out Patient and In Patient ,30,Yes,No,No,No,,19845,394,20/03/16
HUK0069,KAKIRA SUGAR LIMITED HOSPITAL,KAKIRA SUGAR LIMITED,DR SINGH ASHOK KUMAR,KAKIRA SUGAR,,KAKIRA TOWN,JINJA,,,,,Hospital ,Out Patient and In Patient ,78,Yes,Yes,Yes,Yes,"BLOOD BANK,PHYSIO",18981,127,22/02/16
HUK0441,KAKONI MEDICAL CLINIC III,MUSOKE SALIM,DR KAHENDEKE CAROLYN SARAH,OWINO MARKET,,CENTRAL,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,FP,20275,1715,10/07/16
HUK0074,KAKORE HEALTH CENTRE,UCMB,DHO,,,,,KAKORE,HAMURWA,RUBAYA,KABALE,Medical,In Patient ,16,Yes,No,No,No,,19848,397,20/03/16
HUK0081,KALEVU MEMORIAL HEALTH UNIT,SSENYONJO M.FRANCIS,DR SSENYONJO FRNACIS MBAZIIRA,,,,,NAKAYIBA,NYENDO-SENYANGE,MASAKA,MASAKA,Medical,Out Patient ,,Yes,No,No,No,,21232,513,22/03/16
HUK0511,KALISIZO UGANDA MUSLIM MEDICAL MISSION TOWN COUNC,UMSC,DHO RAKAI,BUKOBA ROAD,,KALISIZO TOWN COUNCIL,RAKAI,,,,,Medical,Out Patient and In Patient ,10,Yes,No,No,No,"FP,IMMUNIZATION",18298,157,12/02/16
HUK0514,KAMPALA AUDIOLOGY & SPEECH CENTRE,DR TURITWENKA EDWARD,DR TURITWENKA EDWARD,"PLOT 52,BOMBO ROAD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,No,No,No,No,HEARING TESTING & REHA,19301,256,02/03/16
HUK0092,KAMPALA DIABETES CENTRE (KADIAC),MARCEL ANDREW OTIM,PROF OTIM MARCEL ANDREW,"25, OLD KIRA RD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,Yes,Yes,No,No,,90263,300,01/03/16
HUK0432,KAMPALA HIGHWAY CLINIC,OMONA CHARLES,DR OMONA CHARLES,"172,ANDREA OLAL",,PECE GULU M/C,GULU,,,,,Medical,Out Patient and In Patient ,5,No,No,No,No,FP,22995,1789,25/07/16
HUK0097,KAMPALA HOSPITAL,KAMPALA HOSPITAL LIMITED,"DR KANYEREZI,DR JOHN SSALI,DR MUKIIBI JA","6,MAKINDU CLOSE",KOLOLO,NAKAWA,KAMPALA,,,,,Hospital ,Out Patient and In Patient ,50,Yes,Yes,No,No,"CT SCAN,MRI SCAN,FP",18278,897,25/04/16
HUK0100,KAMPALA IMAGING CENTRE,KAMYA LUBOWA SAMSON,DR KAMYA LUBOWA SAMSON,"8,NGABO ROAD",,CENTRAL,KAMPALA,,,,,Medical,Out Patient ,,No,Yes,No,No,,24268,975,11/04/16
HUK0102,KAMPALA INTENATIONAL UNIVERSITY HOSPITAL,KAMPALA INTERNATIONAL UNIVERSITY,DR OONGE BENJAMIN,BUSHENYI-ISHAKA,,TOWN COUNCIL,BUSHENYI,,,,,Hospital ,Out Patient and In Patient ,100,Yes,Yes,No,Yes,,18837,,27/01/16
HUK0116,KAMULI MEDICAL CLINIC,OMODO DINAH ASIO,DR TURITWENKA  EDWARD,,,,,KAMULI-KIREKA,KIIRA,KYADONDO,WAKISO,Medical,Out Patient ,,Yes,No,No,No,FP,19964,249,24/02/16
HUK0117,KAMULI MISSION HOSPITAL,UCMB,DR MULELEDHU ANDREW,,,,,KASOGO,KAMULI T/C,BUGABULA NORTH,KALIRO,Hospital ,Out Patient and In Patient ,160,Yes,Yes,No,No,,19820,433,10/03/16
HUK0121,KAMWEZI KASEKYE PARISH HEALTH CENTRE,UCMB,DHO,,,,,KASHEKYE,KAMWEZI,RUKIGA,KABALE,Medical,Out Patient ,13,Yes,No,No,No,,19837,386,20/03/16
HUK0122,KAMWOKYA CHRISTIAN CARING COMMUNITY,UCMB,DHO,KAMWOKYA,,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,2,Yes,No,No,No,,24869,1091,15/04/16
HUK0125,KANAWAT MISSION HEALTH CENTRE III,UCMB,DHO,,,,,KANAWAT,KOTIDO,JIE,KOTIDO,Medical and Dental ,Out Patient and In Patient ,58,Yes,No,No,Yes,CENTRE FOR BLOOD TRANS,24523,411,11/04/16
HUK0128,KANGULUMIRA HEALTH CENTRE II,UCMB,DHO,,,,,KANGULUMIRA,KANGULUMIRA,NTENJERU,KAYUNGA,Medical and Dental ,Out Patient and In Patient ,10,Yes,No,No,No,,24875,1097,15/04/16
HUK0129,KANGULUMIRA INTEGRATED HEALTH PROJECT,YOUTH WITH A MISSION,DHO,,,,,BUKEEKA,KANGULUMIRA,NTENJERU,KAYUNGA,Medical,Out Patient and In Patient ,20,Yes,No,No,No,ART CLINIC,21625,1980,29/09/16
HUK0137,KANYASHOGYI HEALTH CENTRE II,UCMB,DHO,,,,,KANYASHOGYE,MPUNGU,KINKIIZI WEST,KANUNGU,Medical,Out Patient ,12,No,No,No,No,"FP, EPI",25087,945,15/04/16
HUK0292,KAROLI LWANGA HOSPITAL NYAKIBALE,UCMB,DHO,NTUNGAMO RD,RWAKABENGO,,RUKUNGIRI,,,,,Hospital ,Out Patient and In Patient ,169,Yes,Yes,Yes,Yes,,24775,767,15/04/16
HUK0152,KASANGA PHC/CBHC,UCMB,DHO KASESE,,,,,KISAKI I,BWERA,BUKONZO,KASESE,Medical,Out Patient and In Patient ,33,Yes,No,No,No,MATERNITY,24562,706,26/04/16
HUK0480,KASERENA CHILDREN'S CLINIC,OTITI JULIET MARION,DR OTITI JULIET MARION,"52,OLD KIIRA ROAD",,NAKAWA,KAMPALA,,,,,Medical,Out Patient and In Patient ,4,Yes,No,No,No,,25595,1504,13/05/16
HUK0157,KASESE HOSPITAL,KASESE HOSPITAL LTD,DR ALINAITWE MOSES,KYEBAMBE RD,,CENTRAL,KASESE,,,,,Hospital ,Out Patient and In Patient ,50,Yes,Yes,No,Yes,"FP,IMMUNIZATION,PHYSIO",18660,257,25/01/16
HUK0160,KASHAKA MEDICAL CLINIC,MUGISHA JULIUS,DR MUGISHA JULIUS,,,,,KASHAKA TRADING CENTRE,BUBARE,KASHARI,MBARARA,Medical and Dental ,Out Patient and In Patient ,10,Yes,No,No,No,,18635,53,25/01/16
HUK0433,KASUNGA CLINIC,MPANGA TEA GROWERS FACTORY,DHO,,,,,KYENJOJO,BUGAKI,MWENGE NORTH,KYENJOJO,Medical,Out Patient ,,No,No,No,No,,18844,132,02/02/16
HUK0154,KATADOBA HEALTH CENTRE III,UMSC,DR KASIJA HELLENA,,,,,"PLOT 1,PORTAL ROAD",MUNICIPALITY,,KASESE,Medical and Dental ,Out Patient and In Patient ,20,Yes,No,No,No,"FP,IMMUNIZATION",24603,851,28/04/16
HUK0175,KATI  FOUNDATION CLINIC,BBOSA SERUNKUMA RICHARD,DR BBOSA SERUNKUMA RICHARD,,,,,NJERU RD,LUGAZI,,BUIKWE,Dental ,Out Patient ,,Yes,No,No,No,DENTAL SERVICES,24694,901,11/04/16
HUK0178,KATINE HEALTH CENTRE II,UCMB,DHO,,,,,KATINE,SOROTI,SOROTI,SOROTI,Medical,Out Patient ,,Yes,No,No,No,,22222,1636,27/06/16
HUP0014,KAUCHO PALLISA MISSION HEALTH CENTRE III,UCMB,DHO,,,,,KAUCHO,PALLISA,PALLISA,PALLISA,Medical,Out Patient and In Patient ,12,Yes,No,No,No,,24403,777,11/04/16
HUK0414,KAWOKO MUSLIM HEALTH CENTRE III,KABIGI TAQUA FOUNDATION LTD,DHO,,,,,KAWOKO TOWN COUNCIL,BUTENGA,,BUKOMANSIMBI,Medical,Out Patient and In Patient ,5,Yes,No,No,No,IMMUNIZATION,21381,568,16/03/16
HUK0201,KAYAYUMBE HEALTH CENTRE II,UCMB,DHO,,,,,KAYAYUMBE,LWANDA,KOOKI,RAKAI,Maternity,Out Patient and In Patient ,7,Yes,No,No,No,,24854,1076,15/04/16
HUK0204,KAYONZA GROWERS TEA FACTORY HEALTH CENTRE III,KAYONZA GROWERS TEA FACTORY,DR SEBUDDE STEPHEN,,,,,NTUNGAMO,KAYONZA,KINKIIZI WEST,KANUNGU,Medical,Out Patient and In Patient ,8,Yes,No,No,No,,23506,1996,03/10/16
HUK0217,KEB MIREMBE CLINIC,EDITH SSANYU BWOGI,DR MWAYAFU DANIEL,PORTBELL ROAD,KISENYI 2,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,,72621,592,22/03/16
HUK0238,KIBIRI MEDICAL CENTRE,NSENGIYUMVA VENANCIO,DR KWITONDA PASCAL,,,,,"KIBIRI, BUSABALA ROAD","SABAGABO, MAKINDYE",MAKINDYE,WAKISO,Medical,Out Patient and In Patient ,10,Yes,No,No,No,,19315,259,02/03/16
HUK0239,KIBIRIZI HEALTH CENTRE,UCMB,DHO,,,,,KIHANGA,BUHUNGA,RUJUMBURA,RUKUNGIRI,Medical,Out Patient and In Patient ,12,Yes,No,No,Yes,,19853,402,20/03/16
HUK0240,KIBOGA HEALTH CLINIC,BUKULU W.J.,DR BUKULU WILLIAM JOSEPH,,,,,OPPOSITE TAXI PARK,,TOWN COUNCIL,KIBOGA,Medical and Dental ,Out Patient ,,Yes,No,No,No,,18548,166,12/02/16
HUK0244,KIBULI MUSLIM HOSPITAL,YOUNG MEN MUSLIM ASSOCIATION,DR MATOVU BADRU,MBOGO ROAD,KIBULI,MAKINDYE,KAMPALA,,,,,Hospital ,Out Patient and In Patient ,146,Yes,Yes,No,Yes,"MATERNITY,RADIOTHERAPY",24398,1028,11/04/16
HUK0246,KICWAMBA HEALTH CENTRE II,UCMB,DHO KAMWENGE,,,,,KABURASOKE,NTARA,KITAGWENDA,KAMWENGE,Medical,Out Patient ,14,Yes,No,No,No,,24412,788,11/04/16
HUK0247,KIDDAWALIME NURSING HOME,UMMB,DR LULE HARUNA,,,,,LWAMASAKA,NGANDO,BUTAMBALA,MPIGI,Nursing Home,Out Patient and In Patient ,10,Yes,No,No,No,EPI,21739,634,22/03/16
HUK0248,KIDETOK MISSION HEALTH CENTRE III,UCMB,DHO,,,,,KIDETOK,KASILO,SERERE,SOROTI,Medical,Out Patient and In Patient ,54,Yes,No,No,Yes,,22207,1623,27/06/16
HUK0253,KIGARAMA HEALTH CLINIC,AHEBWA RASHID,DR NKANIKA MOSES,IBANDA,,IBANDA T/C,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,8,Yes,No,No,No,FP,21400,575,18/03/16
HUK0132,KIGUNGA MEDICAL CLINIC,NDYAMUHAKI PARTISON,DR ANGUZU RONALD,KIGUNGA,,CENTRAL GOMA,MUKONO,,,,,Medical,Out Patient ,,No,No,No,No,,25347,1375,19/05/16
HUK0272,KIKO HEALTH CENTRE III,MCLOEDS ROSSEL (UGANDA),DHO,,,,,KIKO,RUTETE,BURAHYA,KABAROLE,Maternity,Out Patient and In Patient ,10,Yes,No,No,No,,24972,1189,27/04/16
HUK0275,KILEMBE MINES HOSPITAL,JOINT VENTURE,DHO,,,,,NAMUHUGA,BULEMBIA,BUSONGORA SOUTH,KASESE,Hospital ,Out Patient and In Patient ,200,Yes,Yes,Yes,Yes,"HIV SERV,ORTHO,PHYSIO",19824,370,20/03/16
HUK0282,KINANIRA HEALTH CENTRE III,UCMB,DHO,,,,,GITOVU,BUSANZA,BUFUMBIRA,KISORO,Medical,Out Patient and In Patient ,37,Yes,No,No,Yes,,19855,404,20/03/16
HUK0435,KINGS MEDICAL CENTRE KIREKA,KATANAKA ARNOLD,DR DAMANI ALI MOSES,KIREKA,,KIRA TOWN COUNCIL,WAKISO,,,,,Medical and Dental ,Out Patient and In Patient ,3,Yes,Yes,No,No,"FP,IMMUNIZATION",18894,114,02/02/16
HUK0290,KINYARUGONJO HC III,BANYATEREZA SISTERS,DHO,,,,,KINYARUGONJO,MABAALE,BUYAGA,KIBAALE,Medical,Out Patient and In Patient ,30,Yes,Yes,No,No,MATERNITY,22216,1630,27/06/16
HUK0464,KIRABO MEDICAL AND DENTAL CARE,NABAKIIBI BETTY,DR MITI MOSES,MULAGO II,,KAWEMPE,KAMPALA,,,,,Medical and Dental ,Out Patient ,,No,No,No,No,FP,24475,744,01/04/16
HUK0461,KISA MEDICAL CENTRE,KYASIIMA WOBULENZI GRACE,DR KYASIIMA WOBULENZI GRACE,,,,,KALISIZO,KALISIZO,,RAKAI,Maternity,Out Patient and In Patient ,10,Yes,Yes,No,No,FP,21124,500,22/03/16
HUK0318,KISHANJE HEALTH CENTRE,UCMB,DHO,,,,,KISHANJE,BUFUNDI,RUBANDA,KABALE,Medical,Out Patient ,4,Yes,No,No,No,MATERNITY SERVICES,19840,389,20/03/16
HUK0322,KISUBI GENERAL CLINIC,NTALE JOHN ISDORO,DR NTALE JOHN ISDORO,KAWUKU,,KATABI,WAKISO,,,,,Medical and Dental ,Out Patient and In Patient ,5,Yes,No,No,No,,19905,211,23/02/16
HUK0323,KISUBI HOSPITAL,UCMB,DR ASABA ROBERT,,,,,KISUBI,KATABI,BUSIRO,WAKISO,Hospital ,Out Patient and In Patient ,110,Yes,Yes,No,Yes,ENDOSCOPY,22228,1639,24/06/16
HUK0326,KITABU ST. FRANCIS OF ASSISI MATERNITY CENTRE,UCMB,DHO,,,,,KITABU,KYALHUMBA,KYALHUMBA,KASESE,Medical,Out Patient ,17,Yes,No,No,Yes,,24567,707,26/04/16
HUK0331,KITANGA HEALTH CENTRE,UCMB,DHO,,,,,KITANGA,KASHAMBYA,RUKIGA,KABALE,Medical,Out Patient and In Patient ,42,Yes,No,No,Yes,,19838,387,20/03/16
HUK0336,KITGUM MATERNITY AND MEDICAL CENTRE,KITGUM MATERNITY AND MEDICAL CENTRE,DR OKELLO BOSCO OTUU,"15,KITGUM",,KITGUM TOWN COUNCIL,KITGUM,,,,,Maternity,Out Patient and In Patient ,8,Yes,Yes,No,No,"FP,IMMUNISATION",22387,1906,01/09/16
HUK0474,KITI COMMUNITY HEALTH CARE CENTRE,NATUKUNDA JACINTA,DR MUGUME FRANCIS,,,,,KITI,NANGABO,,WAKISO,Medical,Out Patient ,,Yes,No,No,No,FP,19659,355,10/03/16
HUK0451,KITOKOLO HEALTH CENTRE II,"UPMB,HOPE FOR THE NEEDY",DR MUBIRU WILSON (DDHO MUBENDE),,,,,BUKUYA,BUKUYA,,MUBENDE,Medical,Out Patient and In Patient ,10,Yes,No,No,No,"FP,IMMUNIZATION",25081,935,15/04/16
HUK0347,KIWATULE MEDICAL CENTRE,TUSIIME HENRY TIYEITU,DR KIWEEWA RONALD,"WABIDUKU,KIWATULE",,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,FP,25220,1267,04/05/16
HUK0365,KOLONYI HOSPITAL,SALEM BROTHERHOOD UGANDA,DR TUUNDE STEPHEN,,,,,KOLONYI,NAKALOKE,BUNKOKO,MBALE,Hospital ,Out Patient and In Patient ,69,Yes,Yes,Yes,Yes,THEATRE,19937,219,22/02/16
HUK0496,KRISTINA HEALTH CENTRE II,ACHON UGANDA CHILDREN'S FUND,DHO,OTUKE,,OTUKE TOWN COUNCIL,OTUKE,,,,,Medical and Dental ,Out Patient and In Patient ,20,Yes,No,No,Yes,"FP,IMMUNIZATION",21047,456,09/03/16
HUK0373,KULUVA C.O.U HOSPITAL,UPMB,DR ATIKU ALEX,,,,,KULUVA,VURRA,VURRA,ARUA,Hospital ,Out Patient and In Patient ,200,Yes,Yes,No,Yes,NURSING SCHOOL,21109,498,14/03/16
HUK0377,KUMI UNIVERSITY CLINIC,INTERNATIONAL DEVT INSTITUTE UGANDA,DR HWANG EUIDOO,,,,,KUMI,NYERO,KUMI,KUMI,Medical,Out Patient ,,Yes,Yes,No,Yes,,19245,230,22/02/16
HUK0381,KWAGALA MEDICAL CLINIC,MPUBANI FAROUK,DR BITIRA DAVID,MAYUGE,,TOWN COUNCIL,MAYUGE,,,,,Medical,Out Patient ,,Yes,No,No,No,GUIDANCE AND COUNSELLI,18202,22,08/01/16
HUK0384,KYABIRUKWA HEALTH CENTRE III,UCMB,DHO,,,,,KYABIRUKWA,KABINGO,ISINGIRO NORTH,ISINGIRO,Medical,Out Patient and In Patient ,67,Yes,Yes,No,Yes,"MAT,PMTCT, ANC, EPI",24421,798,11/04/16
HUK0387,KYAKATARA HEALTH CENTRE III,UCMB,DHO KYENJOJO,,,,,KYAKATARA,BUGAAKI,MWENGE,KYENJOJO,Medical,Out Patient and In Patient ,27,Yes,No,No,No,"ANC,EPI,AIDS CLINIC,MT",24417,793,11/04/16
HUK0402,KYANJA MEDICAL CENTRE,SEMITALA FRED COLLINS,DR SEMITALA FRED COLLINS,,,,,KYANJA,NAKAWA,NAKAWA,KAMPALA,Medical,Out Patient and In Patient ,6,Yes,No,No,No,"FP,IMMUNIZATION",20898,1747,25/07/16
HUK0417,KYEMBOGO HEALTH CENTRE II,SISTERS OF THE HOLY CROSS,DHO,,,,,KIRINDA,KYARUSOZI,KYARUSOZI,KYENJOJO,Medical,Out Patient and In Patient ,21,Yes,Yes,No,No,"ANC,EPI,MAT,AIDS CLINI",24416,792,11/04/16
HUK0418,KYEMIHOKO CLINIC,DR. HENRY AND DR. ALLI,DR WEFULA EDWARD,KASESE,,NYAMWAMBA,KASESE,,,,,Medical and Dental ,Out Patient ,2,Yes,No,No,No,"FP,IMMUNIZATION,CBO",25550,1533,02/06/16
